benchmark,expansion,density,iterations,run_number,symbols,symbol_size,testcase,type,throughput,goodput,unit,
binary,2,0.200000,1,10,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,11,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,12,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,13,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,14,16,1600,FulcrumInner,encoder,640.000000,640.000000,Mbs,
binary,2,0.200000,1,15,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,16,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,17,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,18,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,19,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,20,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,21,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,22,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,23,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,24,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,25,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,26,16,1600,FulcrumInner,encoder,406.349206,406.349206,Mbs,
binary,2,0.200000,1,27,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,28,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,29,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,30,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,31,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,2,0.200000,1,32,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,33,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,34,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,35,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,36,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,2,0.200000,1,37,16,1600,FulcrumInner,encoder,775.757576,775.757576,Mbs,
binary,2,0.200000,1,38,16,1600,FulcrumInner,encoder,825.806452,825.806452,Mbs,
binary,2,0.200000,1,39,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
